##########################################################################################
### MCD_v6.1 with Martian Year 31 scenario.
### Latitude 83.8N. Longitude 235.0E. Altitude 0.0 m ALS.
### --------------------------------------------------------------------------------------
### Column 1 is Areocentric longitude (degrees)
### Columns 2+ are Daily mean dust column visible optical depth above surface
### Line 1 is Local time (Martian hour)
### --------------------------------------------------------------------------------------
### Retrieved on: 2024-06-08T03:54:36.010233
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||    0.00000e+00    1.00000e+00    2.00000e+00    3.00000e+00    4.00000e+00    5.00000e+00    6.00000e+00    7.00000e+00    8.00000e+00    9.00000e+00    1.00000e+01    1.10000e+01    1.20000e+01    1.30000e+01    1.40000e+01    1.50000e+01    1.60000e+01    1.70000e+01    1.80000e+01    1.90000e+01    2.00000e+01    2.10000e+01    2.20000e+01    2.30000e+01    2.40000e+01
-----------------------------------
+165 ||    2.12724e-01    2.12297e-01    2.11977e-01    2.11869e-01    2.11801e-01    2.11817e-01    2.11848e-01    2.11911e-01    2.11970e-01    2.12019e-01    2.12096e-01    2.12228e-01    2.12334e-01    2.12389e-01    2.12497e-01    2.12712e-01    2.12868e-01    2.12904e-01    2.12983e-01    2.13145e-01    2.13265e-01    2.13301e-01    2.13249e-01    2.13019e-01    2.12724e-01
+180 ||    1.13550e-01    1.13328e-01    1.13170e-01    1.13144e-01    1.13130e-01    1.13139e-01    1.13167e-01    1.13234e-01    1.13303e-01    1.13376e-01    1.13470e-01    1.13605e-01    1.13706e-01    1.13740e-01    1.13803e-01    1.13925e-01    1.13998e-01    1.13976e-01    1.13970e-01    1.13995e-01    1.13998e-01    1.13954e-01    1.13875e-01    1.13725e-01    1.13550e-01
+195 ||    7.69610e-02    7.68124e-02    7.67142e-02    7.67168e-02    7.67207e-02    7.67270e-02    7.67540e-02    7.68220e-02    7.68943e-02    7.69749e-02    7.70738e-02    7.72091e-02    7.73087e-02    7.73365e-02    7.73842e-02    7.74717e-02    7.75164e-02    7.74754e-02    7.74399e-02    7.74157e-02    7.73753e-02    7.73027e-02    7.72137e-02    7.70918e-02    7.69610e-02
+210 ||    2.22387e-01    2.22056e-01    2.21866e-01    2.21955e-01    2.22023e-01    2.22052e-01    2.22102e-01    2.22195e-01    2.22311e-01    2.22473e-01    2.22710e-01    2.23096e-01    2.23387e-01    2.23489e-01    2.23616e-01    2.23794e-01    2.23801e-01    2.23468e-01    2.23214e-01    2.23122e-01    2.23025e-01    2.22916e-01    2.22786e-01    2.22612e-01    2.22387e-01
+225 ||    1.40826e-01    1.40674e-01    1.40606e-01    1.40710e-01    1.40786e-01    1.40810e-01    1.40826e-01    1.40825e-01    1.40845e-01    1.40908e-01    1.41029e-01    1.41270e-01    1.41457e-01    1.41534e-01    1.41609e-01    1.41678e-01    1.41612e-01    1.41277e-01    1.41030e-01    1.40959e-01    1.40908e-01    1.40897e-01    1.40888e-01    1.40881e-01    1.40826e-01
+240 ||    1.86115e-01    1.85954e-01    1.85876e-01    1.85964e-01    1.86033e-01    1.86064e-01    1.86091e-01    1.86109e-01    1.86138e-01    1.86187e-01    1.86292e-01    1.86507e-01    1.86675e-01    1.86748e-01    1.86830e-01    1.86928e-01    1.86909e-01    1.86656e-01    1.86452e-01    1.86344e-01    1.86262e-01    1.86229e-01    1.86201e-01    1.86182e-01    1.86115e-01
+255 ||    1.73055e-01    1.72939e-01    1.72875e-01    1.72916e-01    1.72953e-01    1.72981e-01    1.73011e-01    1.73045e-01    1.73073e-01    1.73091e-01    1.73141e-01    1.73254e-01    1.73344e-01    1.73389e-01    1.73450e-01    1.73547e-01    1.73586e-01    1.73511e-01    1.73423e-01    1.73312e-01    1.73223e-01    1.73177e-01    1.73138e-01    1.73111e-01    1.73055e-01
+270 ||    1.28725e-01    1.28646e-01    1.28609e-01    1.28655e-01    1.28690e-01    1.28703e-01    1.28720e-01    1.28745e-01    1.28765e-01    1.28778e-01    1.28812e-01    1.28890e-01    1.28949e-01    1.28968e-01    1.28996e-01    1.29040e-01    1.29068e-01    1.29061e-01    1.29033e-01    1.28964e-01    1.28901e-01    1.28853e-01    1.28809e-01    1.28774e-01    1.28725e-01
+285 ||    1.41284e-01    1.41207e-01    1.41178e-01    1.41245e-01    1.41292e-01    1.41298e-01    1.41311e-01    1.41338e-01    1.41359e-01    1.41372e-01    1.41406e-01    1.41486e-01    1.41541e-01    1.41546e-01    1.41556e-01    1.41574e-01    1.41603e-01    1.41651e-01    1.41662e-01    1.41601e-01    1.41537e-01    1.41467e-01    1.41402e-01    1.41347e-01    1.41284e-01
+300 ||    1.70835e-01    1.70739e-01    1.70711e-01    1.70817e-01    1.70888e-01    1.70890e-01    1.70896e-01    1.70913e-01    1.70938e-01    1.70979e-01    1.71057e-01    1.71209e-01    1.71312e-01    1.71317e-01    1.71331e-01    1.71365e-01    1.71376e-01    1.71343e-01    1.71290e-01    1.71198e-01    1.71102e-01    1.70998e-01    1.70919e-01    1.70888e-01    1.70835e-01
